EVTYPE,EVTYPE_ACTUAL
SNOWSTORM,HEAVY SNOW
SOUTHEAST,OTHER
STORM FORCE WINDS,OTHER
STORM SURGE,STORM TIDE
STORM SURGE/TIDE,STORM TIDE
STREAM FLOODING,COASTAL FLOOD
STREET FLOOD,FLOOD
STREET FLOODING,FLOOD
Strong Wind,STRONG WIND
STRONG WIND,STRONG WIND
STRONG WIND GUST,STRONG WIND
Strong winds,STRONG WIND
Strong Winds,STRONG WIND
STRONG WINDS,STRONG WIND
Summary August 10,OTHER
Summary August 11,OTHER
Summary August 17,OTHER
Summary August 2-3,OTHER
Summary August 21,OTHER
Summary August 28,OTHER
Summary August 4,OTHER
Summary August 7,OTHER
Summary August 9,OTHER
Summary Jan 17,OTHER
Summary July 23-24,OTHER
Summary June 18-19,OTHER
Summary June 5-6,OTHER
Summary June 6,OTHER
Summary of April 12,OTHER
Summary of April 13,OTHER
Summary of April 21,OTHER
Summary of April 27,OTHER
Summary of April 3rd,OTHER
Summary of August 1,OTHER
Summary of July 11,OTHER
Summary of July 2,OTHER
Summary of July 22,OTHER
Summary of July 26,OTHER
Summary of July 29,OTHER
Summary of July 3,OTHER
Summary of June 10,OTHER
Summary of June 11,OTHER
Summary of June 12,OTHER
Summary of June 13,OTHER
Summary of June 15,OTHER
Summary of June 16,OTHER
Summary of June 18,OTHER
Summary of June 23,OTHER
Summary of June 24,OTHER
Summary of June 3,OTHER
Summary of June 30,OTHER
Summary of June 4,OTHER
Summary of June 6,OTHER
Summary of March 14,OTHER
Summary of March 23,OTHER
Summary of March 24,OTHER
SUMMARY OF MARCH 24-25,OTHER
SUMMARY OF MARCH 27,OTHER
SUMMARY OF MARCH 29,OTHER
Summary of May 10,OTHER
Summary of May 13,OTHER
Summary of May 14,OTHER
Summary of May 22,OTHER
Summary of May 22 am,OTHER
Summary of May 22 pm,OTHER
Summary of May 26 am,OTHER
Summary of May 26 pm,OTHER
Summary of May 31 am,OTHER
Summary of May 31 pm,OTHER
Summary of May 9-10,OTHER
Summary Sept. 25-26,OTHER
Summary September 20,OTHER
Summary September 23,OTHER
Summary September 3,OTHER
Summary September 4,OTHER
Summary: Nov. 16,OTHER
Summary: Nov. 6-7,OTHER
Summary: Oct. 20-21,OTHER
Summary: October 31,OTHER
Summary: Sept. 18,OTHER
Temperature record,OTHER
THUDERSTORM WINDS,THUNDERSTORM WIND
THUNDEERSTORM WINDS,THUNDERSTORM WIND
THUNDERESTORM WINDS,THUNDERSTORM WIND
THUNDERSNOW,THUNDERSTORM WIND
Thundersnow shower,THUNDERSTORM WIND
THUNDERSTORM,THUNDERSTORM WIND
THUNDERSTORM  WINDS,THUNDERSTORM WIND
THUNDERSTORM DAMAGE,THUNDERSTORM WIND
THUNDERSTORM DAMAGE TO,THUNDERSTORM WIND
THUNDERSTORM HAIL,THUNDERSTORM WIND
THUNDERSTORM W INDS,THUNDERSTORM WIND
Thunderstorm Wind,THUNDERSTORM WIND
THUNDERSTORM WIND,THUNDERSTORM WIND
THUNDERSTORM WIND (G40),THUNDERSTORM WIND
THUNDERSTORM WIND 50,THUNDERSTORM WIND
THUNDERSTORM WIND 52,THUNDERSTORM WIND
THUNDERSTORM WIND 56,THUNDERSTORM WIND
THUNDERSTORM WIND 59,THUNDERSTORM WIND
THUNDERSTORM WIND 59 MPH,THUNDERSTORM WIND
THUNDERSTORM WIND 59 MPH.,THUNDERSTORM WIND
THUNDERSTORM WIND 60 MPH,THUNDERSTORM WIND
THUNDERSTORM WIND 65 MPH,THUNDERSTORM WIND
THUNDERSTORM WIND 65MPH,THUNDERSTORM WIND
THUNDERSTORM WIND 69,THUNDERSTORM WIND
THUNDERSTORM WIND 98 MPH,THUNDERSTORM WIND
THUNDERSTORM WIND G50,THUNDERSTORM WIND
THUNDERSTORM WIND G51,THUNDERSTORM WIND
THUNDERSTORM WIND G52,THUNDERSTORM WIND
THUNDERSTORM WIND G55,THUNDERSTORM WIND
THUNDERSTORM WIND G60,THUNDERSTORM WIND
THUNDERSTORM WIND G61,THUNDERSTORM WIND
THUNDERSTORM WIND TREES,THUNDERSTORM WIND
THUNDERSTORM WIND.,THUNDERSTORM WIND
THUNDERSTORM WIND/ TREE,THUNDERSTORM WIND
THUNDERSTORM WIND/ TREES,THUNDERSTORM WIND
THUNDERSTORM WIND/AWNING,THUNDERSTORM WIND
THUNDERSTORM WIND/HAIL,THUNDERSTORM WIND
THUNDERSTORM WIND/LIGHTNING,THUNDERSTORM WIND
THUNDERSTORM WINDS,THUNDERSTORM WIND
THUNDERSTORM WINDS      LE CEN,THUNDERSTORM WIND
THUNDERSTORM WINDS 13,THUNDERSTORM WIND
THUNDERSTORM WINDS 2,THUNDERSTORM WIND
THUNDERSTORM WINDS 50,THUNDERSTORM WIND
THUNDERSTORM WINDS 52,THUNDERSTORM WIND
THUNDERSTORM WINDS 53,THUNDERSTORM WIND
THUNDERSTORM WINDS 60,THUNDERSTORM WIND
THUNDERSTORM WINDS 61,THUNDERSTORM WIND
THUNDERSTORM WINDS 62,THUNDERSTORM WIND
THUNDERSTORM WINDS 63 MPH,THUNDERSTORM WIND
THUNDERSTORM WINDS AND,THUNDERSTORM WIND
THUNDERSTORM WINDS FUNNEL CLOU,THUNDERSTORM WIND
THUNDERSTORM WINDS G,THUNDERSTORM WIND
THUNDERSTORM WINDS G60,THUNDERSTORM WIND
THUNDERSTORM WINDS HAIL,THUNDERSTORM WIND
THUNDERSTORM WINDS HEAVY RAIN,THUNDERSTORM WIND
THUNDERSTORM WINDS LIGHTNING,THUNDERSTORM WIND
THUNDERSTORM WINDS SMALL STREA,THUNDERSTORM WIND
THUNDERSTORM WINDS URBAN FLOOD,THUNDERSTORM WIND
THUNDERSTORM WINDS.,THUNDERSTORM WIND
THUNDERSTORM WINDS/ FLOOD,THUNDERSTORM WIND
THUNDERSTORM WINDS/ HAIL,THUNDERSTORM WIND
THUNDERSTORM WINDS/FLASH FLOOD,THUNDERSTORM WIND
THUNDERSTORM WINDS/FLOODING,THUNDERSTORM WIND
THUNDERSTORM WINDS/FUNNEL CLOU,THUNDERSTORM WIND
THUNDERSTORM WINDS/HAIL,THUNDERSTORM WIND
THUNDERSTORM WINDS/HEAVY RAIN,THUNDERSTORM WIND
THUNDERSTORM WINDS53,THUNDERSTORM WIND
THUNDERSTORM WINDSHAIL,THUNDERSTORM WIND
THUNDERSTORM WINDSS,THUNDERSTORM WIND
THUNDERSTORM WINS,THUNDERSTORM WIND
THUNDERSTORMS,THUNDERSTORM WIND
THUNDERSTORMS WIND,THUNDERSTORM WIND
THUNDERSTORMS WINDS,THUNDERSTORM WIND
THUNDERSTORMW,THUNDERSTORM WIND
THUNDERSTORMW 50,THUNDERSTORM WIND
THUNDERSTORMW WINDS,THUNDERSTORM WIND
THUNDERSTORMWINDS,THUNDERSTORM WIND
THUNDERSTROM WIND,THUNDERSTORM WIND
THUNDERSTROM WINDS,THUNDERSTORM WIND
THUNDERTORM WINDS,THUNDERSTORM WIND
THUNDERTSORM WIND,THUNDERSTORM WIND
THUNDESTORM WINDS,THUNDERSTORM WIND
THUNERSTORM WINDS,THUNDERSTORM WIND
TIDAL FLOOD,COASTAL FLOOD
Tidal Flooding,COASTAL FLOOD
TIDAL FLOODING,COASTAL FLOOD
TORNADO,TORNADO
TORNADO DEBRIS,TORNADO
TORNADO F0,TORNADO
TORNADO F1,TORNADO
TORNADO F2,TORNADO
TORNADO F3,TORNADO
TORNADO/WATERSPOUT,TORNADO
TORNADOES,TORNADO
"TORNADOES, TSTM WIND, HAIL",TORNADO
TORNADOS,TORNADO
TORNDAO,TORNADO
TORRENTIAL RAIN,HEAVY RAIN
Torrential Rainfall,HEAVY RAIN
TROPICAL DEPRESSION,TROPICAL DEPRESSION
TROPICAL STORM,TROPICAL STORM
TROPICAL STORM ALBERTO,TROPICAL STORM
TROPICAL STORM DEAN,TROPICAL STORM
TROPICAL STORM GORDON,TROPICAL STORM
TROPICAL STORM JERRY,TROPICAL STORM
TSTM,THUNDERSTORM WIND
TSTM HEAVY RAIN,THUNDERSTORM WIND
Tstm Wind,THUNDERSTORM WIND
TSTM WIND,THUNDERSTORM WIND
TSTM WIND  (G45),THUNDERSTORM WIND
TSTM WIND (41),THUNDERSTORM WIND
TSTM WIND (G35),THUNDERSTORM WIND
TSTM WIND (G40),THUNDERSTORM WIND
TSTM WIND (G45),THUNDERSTORM WIND
TSTM WIND 40,THUNDERSTORM WIND
TSTM WIND 45,THUNDERSTORM WIND
TSTM WIND 50,THUNDERSTORM WIND
TSTM WIND 51,THUNDERSTORM WIND
TSTM WIND 52,THUNDERSTORM WIND
TSTM WIND 55,THUNDERSTORM WIND
TSTM WIND 65),THUNDERSTORM WIND
TSTM WIND AND LIGHTNING,THUNDERSTORM WIND
TSTM WIND DAMAGE,THUNDERSTORM WIND
TSTM WIND G45,THUNDERSTORM WIND
TSTM WIND G58,THUNDERSTORM WIND
TSTM WIND/HAIL,THUNDERSTORM WIND
TSTM WINDS,THUNDERSTORM WIND
TSTM WND,THUNDERSTORM WIND
TSTMW,THUNDERSTORM WIND
TSUNAMI,TSUNAMI
TUNDERSTORM WIND,THUNDERSTORM WIND
TYPHOON,HURRICANE/TYPHOON
Unseasonable Cold,EXTREME COLD/WINDCHILL
UNSEASONABLY COLD,EXTREME COLD/WINDCHILL
UNSEASONABLY COOL,EXTREME COLD/WINDCHILL
UNSEASONABLY COOL & WET,EXTREME COLD/WINDCHILL
UNSEASONABLY DRY,EXCESSIVE HEAT
UNSEASONABLY HOT,EXCESSIVE HEAT
UNSEASONABLY WARM,EXCESSIVE HEAT
UNSEASONABLY WARM & WET,EXCESSIVE HEAT
UNSEASONABLY WARM AND DRY,EXCESSIVE HEAT
UNSEASONABLY WARM YEAR,EXCESSIVE HEAT
UNSEASONABLY WARM/WET,EXCESSIVE HEAT
UNSEASONABLY WET,HEAVY RAIN
UNSEASONAL LOW TEMP,EXTREME COLD/WINDCHILL
UNSEASONAL RAIN,HEAVY RAIN
UNUSUAL WARMTH,EXCESSIVE HEAT
UNUSUAL/RECORD WARMTH,EXCESSIVE HEAT
UNUSUALLY COLD,EXTREME COLD/WINDCHILL
UNUSUALLY LATE SNOW,HEAVY SNOW
UNUSUALLY WARM,EXCESSIVE HEAT
URBAN AND SMALL,FLOOD
URBAN AND SMALL STREAM,FLOOD
URBAN AND SMALL STREAM FLOOD,FLOOD
URBAN AND SMALL STREAM FLOODIN,FLOOD
Urban flood,FLOOD
Urban Flood,FLOOD
URBAN FLOOD,FLOOD
URBAN FLOOD LANDSLIDE,FLOOD
Urban Flooding,FLOOD
URBAN FLOODING,FLOOD
URBAN FLOODS,FLOOD
URBAN SMALL,FLOOD
URBAN SMALL STREAM FLOOD,FLOOD
URBAN/SMALL,FLOOD
URBAN/SMALL FLOODING,FLOOD
URBAN/SMALL STREAM,FLOOD
URBAN/SMALL STREAM  FLOOD,FLOOD
URBAN/SMALL STREAM FLOOD,FLOOD
URBAN/SMALL STREAM FLOODING,FLOOD
URBAN/SMALL STRM FLDG,FLOOD
URBAN/SML STREAM FLD,FLOOD
URBAN/SML STREAM FLDG,FLOOD
URBAN/STREET FLOODING,FLOOD
VERY DRY,EXCESSIVE HEAT
VERY WARM,EXCESSIVE HEAT
VOG,DENSE FOG
Volcanic Ash,VOLCANIC ASH
VOLCANIC ASH,VOLCANIC ASH
Volcanic Ash Plume,VOLCANIC ASH
VOLCANIC ASHFALL,VOLCANIC ASH
VOLCANIC ERUPTION,VOLCANIC ASH
WAKE LOW WIND,HIGH WIND
WALL CLOUD,OTHER
WALL CLOUD/FUNNEL CLOUD,FUNNEL CLOUD
WARM DRY CONDITIONS,EXCESSIVE HEAT
WARM WEATHER,EXCESSIVE HEAT
WATER SPOUT,WATERSPOUT
WATERSPOUT,WATERSPOUT
WATERSPOUT-,WATERSPOUT
WATERSPOUT-TORNADO,WATERSPOUT
WATERSPOUT FUNNEL CLOUD,WATERSPOUT
WATERSPOUT TORNADO,WATERSPOUT
WATERSPOUT/,WATERSPOUT
WATERSPOUT/ TORNADO,WATERSPOUT
WATERSPOUT/TORNADO,WATERSPOUT
WATERSPOUTS,WATERSPOUT
WAYTERSPOUT,WATERSPOUT
wet micoburst,HEAVY RAIN
WET MICROBURST,HEAVY RAIN
Wet Month,HEAVY RAIN
WET SNOW,HEAVY SNOW
WET WEATHER,HEAVY RAIN
Wet Year,HEAVY RAIN
Whirlwind,STRONG WIND
WHIRLWIND,STRONG WIND
WILD FIRES,WILDFIRE
WILD/FOREST FIRE,WILDFIRE
WILD/FOREST FIRES,WILDFIRE
WILDFIRE,WILDFIRE
WILDFIRES,WILDFIRE
Wind,HIGH WIND
WIND,HIGH WIND
WIND ADVISORY,HIGH WIND
WIND AND WAVE,HIGH WIND
WIND CHILL,COLD/WIND CHILL
WIND CHILL/HIGH WIND,COLD/WIND CHILL
Wind Damage,HIGH WIND
WIND DAMAGE,HIGH WIND
WIND GUSTS,HIGH WIND
WIND STORM,HIGH WIND
WIND/HAIL,HIGH WIND
WINDS,HIGH WIND
WINTER MIX,WINTER STORM
WINTER STORM,WINTER STORM
WINTER STORM HIGH WINDS,WINTER STORM
WINTER STORM/HIGH WIND,WINTER STORM
WINTER STORM/HIGH WINDS,WINTER STORM
WINTER STORMS,WINTER STORM
Winter Weather,WINTER WEATHER
WINTER WEATHER,WINTER WEATHER
WINTER WEATHER MIX,WINTER WEATHER
WINTER WEATHER/MIX,WINTER WEATHER
WINTERY MIX,WINTER WEATHER
Wintry mix,WINTER WEATHER
Wintry Mix,WINTER WEATHER
WINTRY MIX,WINTER WEATHER
WND,HIGH WIND
